iter	CatBoostEvalMetricCustom	Logloss
544	0.80468995	0.2383507324
545	0.8046991982	0.2383198676
546	0.8047098584	0.2382869075
547	0.804824803	0.2382329716
548	0.8048673009	0.2381979617
549	0.8049475993	0.2381370308
550	0.8049962264	0.2380896951
551	0.8048810159	0.2380437742
552	0.8049599008	0.237998938
553	0.8053629415	0.2379552592
554	0.8054785632	0.2379027938
555	0.8055241518	0.2378567495
556	0.8054727562	0.2378011404
557	0.8053899236	0.2377562233
558	0.8052122622	0.2377030094
559	0.80542697	0.2376491182
560	0.8055024552	0.2376064883
561	0.8055855946	0.2375426199
562	0.8055979463	0.2375002707
563	0.8055762441	0.2374660622
564	0.8057504628	0.2374250034
565	0.8058930131	0.2373858929
566	0.8060332527	0.2373513575
567	0.8059518942	0.2372932089
568	0.8059959763	0.2372531881
569	0.806149043	0.2371816482
570	0.806162667	0.237144355
571	0.8061472719	0.2370968585
572	0.8061915302	0.237058699
573	0.8062104033	0.2369906385
574	0.8061282083	0.2369380516
575	0.8062394979	0.2368858523
576	0.8061559769	0.2368411618
577	0.8062998518	0.2367950829
578	0.8064479812	0.2367405991
579	0.8065281046	0.2366903036
580	0.8066427388	0.2366323188
581	0.8066204456	0.2365985837
582	0.8066687568	0.2365405385
583	0.8066194871	0.2364933704
584	0.8066314776	0.2364491539
585	0.8069032504	0.2364111053
586	0.8070446693	0.2363735173
587	0.8068332744	0.2363196107
588	0.8069063488	0.2362847958
589	0.8071788805	0.2362377555
590	0.807189119	0.2362063717
591	0.8073001589	0.2361643208
592	0.8073187089	0.236108796
593	0.8073981778	0.2360546561
594	0.807476631	0.2360066844
595	0.8074915825	0.2359558425
596	0.807436735	0.2359283498
597	0.8075125278	0.2358821744
598	0.8075283538	0.2358250072
599	0.8075442645	0.2357757852
600	0.8075875369	0.2357361643
601	0.8077363532	0.2356774884
602	0.8077776465	0.2356464361
603	0.8078271905	0.2355873056
604	0.8078695319	0.2355616286
605	0.8080808654	0.2355135474
606	0.8081580787	0.2354769779
607	0.8084668253	0.2354250088
